SD NO.,SD_Name,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANNUAL,JAN-FEB,Mar-May,Jun-Sep,Oct-Dec
28,COSTAL ANDHRA PRADESH,2000,0.10,75.10,0.60,14.60,53.20,175.20,150.30,314.00,92.00,79.90,37.10,27.00,1019.10,75.20,68.40,731.50,144.00
29,TELENGANA,2000,0.50,15.30,1.00,14.40,49.40,229.60,196.40,389.40,63.60,25.40,4.20,6.00,995.20,15.80,64.80,879.00,35.60
30,RAYALSEEMA,2000,0.00,37.40,0.20,20.60,65.20,98.50,90.80,234.80,89.80,135.00,24.90,23.20,820.40,37.40,86.00,513.90,183.10
31,TAMIL NADU & PONDICHERRY,2000,30.30,74.50,9.40,41.60,54.70,52.20,45.80,136.10,169.80,120.30,148.60,88.90,972.20,104.80,105.70,403.90,357.80
32,COASTAL KARNATAKA,2000,14.90,0.50,0.90,25.80,216.40,966.80,915.60,741.70,279.20,174.70,12.50,2.40,3351.40,15.40,243.10,2903.30,189.60
33,NORTH INTERIOR KARNATAKA,2000,0.40,2.50,0.10,8.40,48.80,110.10,127.50,166.30,133.60,115.20,2.80,0.50,716.20,2.90,57.30,537.50,118.50
34,SOUTH INTERIOR KARNATAKA,2000,1.40,15.40,0.20,47.20,60.30,168.00,200.90,300.10,184.30,205.90,14.10,12.00,1209.80,16.80,107.70,853.30,232.00
35,KERALA,2000,11.70,57.80,21.50,96.30,124.50,633.80,343.20,566.50,195.80,214.20,78.10,69.10,2412.50,69.50,242.30,1739.30,361.40
36,LAKSHADWEEP ,2000,83.30,18.90,3.40,47.90,204.60,225.40,95.50,319.90,164.50,141.40,56.30,11.00,1372.10,102.20,255.90,805.30,208.70
1,ANDAMAN & NICOBAR ISLANDS,2001,129.40,28.20,163.70,56.90,664.60,278.70,270.60,328.00,294.30,268.80,322.10,129.80,2935.10,157.60,885.20,1171.60,720.70
2,ARUNACHAL PRADESH,2001,31.50,52.60,85.50,184.40,201.00,369.90,418.50,323.60,289.50,207.00,23.50,12.90,2199.90,84.10,470.90,1401.50,243.40
3,ASSAM & MEGHALAYA,2001,5.50,32.60,33.70,198.40,286.00,435.20,447.80,297.10,272.50,218.90,28.60,3.80,2260.10,38.10,518.10,1452.60,251.30
4,"NAGALAND, MANIPUR, MIZORAM,TRIPURA",2001,1.70,61.90,44.90,87.20,241.20,459.40,280.10,243.40,251.10,232.50,59.00,0.50,1962.90,63.60,373.30,1234.00,292.00
5,SUB-HIMALAYAN W BENGAL & SIKKIM,2001,4.30,11.00,28.40,113.60,358.90,466.70,367.40,438.00,452.20,348.50,25.30,5.70,2620.00,15.30,500.90,1724.30,379.50
6,GANGETIC WEST BENGAL,2001,0.10,2.30,37.60,49.50,157.60,368.70,258.80,220.60,193.60,163.10,8.00,0.00,1459.90,2.40,244.70,1041.70,171.10
7,ORISSA,2001,1.70,2.40,50.80,41.20,86.10,364.10,625.30,330.20,125.10,120.00,30.60,0.00,1777.50,4.10,178.10,1444.70,150.60
8,JHARKHAND,2001,1.90,1.80,26.10,17.60,92.50,311.60,355.40,252.70,165.20,172.90,0.10,0.00,1397.80,3.70,136.20,1084.90,173.00
9,BIHAR ,2001,2.00,0.20,0.50,7.70,118.90,237.80,235.50,224.50,313.20,213.60,0.00,0.00,1353.90,2.20,127.10,1011.00,213.60
10,EAST UTTAR PRADESH,2001,2.60,1.90,3.40,5.70,38.70,246.70,292.60,198.10,145.40,86.40,4.10,0.00,1025.60,4.50,47.80,882.80,90.50
11,WEST UTTAR PRADESH,2001,3.90,3.90,5.50,16.60,40.10,172.60,280.30,126.30,25.80,19.70,1.20,0.10,696.00,7.80,62.20,605.00,21.00
12,UTTARANCHAL,2001,28.80,22.90,58.20,58.80,118.00,290.60,435.60,350.70,79.70,9.30,1.00,7.00,1460.60,51.70,235.00,1156.60,17.30
13,"HARYANA, DELHI & CHANDIGARH",2001,20.10,7.10,10.80,24.70,62.70,155.10,185.80,125.60,12.80,10.60,0.10,1.50,616.90,27.20,98.20,479.30,12.20
14,PUNJAB ,2001,17.10,3.00,11.90,34.00,40.30,123.90,260.90,106.00,24.70,3.80,1.80,6.80,634.20,20.10,86.20,515.50,12.40
15,HIMACHAL PRADESH,2001,25.20,18.10,87.40,72.50,82.10,174.30,294.50,263.20,37.50,3.00,15.10,29.60,1102.50,43.30,242.00,769.50,47.70
16,JAMMU & KASHMIR,2001,15.30,44.20,57.90,71.80,51.50,109.90,210.10,118.20,46.90,8.50,41.00,20.10,795.40,59.50,181.20,485.10,69.60
17,WEST RAJASTHAN ,2001,1.10,0.60,0.00,10.80,35.50,52.60,115.40,68.90,3.20,5.90,0.00,0.10,294.10,1.70,46.30,240.10,6.00
18,EAST  RAJASTHAN ,2001,0.50,0.00,0.60,11.90,43.80,114.90,256.60,131.40,7.90,12.10,0.00,0.00,579.70,0.50,56.30,510.80,12.10
19,WEST MADHYA PRADESH,2001,5.60,0.10,2.80,5.90,26.20,203.60,254.40,180.10,23.90,54.00,0.00,0.00,756.60,5.70,34.90,662.00,54.00
20,EAST MADHYA PRADESH,2001,14.40,2.70,9.40,32.10,38.80,255.50,503.40,224.00,56.70,91.20,3.70,0.00,1231.90,17.10,80.30,1039.60,94.90
21,"GUJARAT REGION, DADRA & NAGAR HAVELI",2001,0.00,0.00,0.00,0.90,6.90,241.50,383.40,305.70,31.60,37.60,0.00,0.00,1007.60,0.00,7.80,962.20,37.60
22,SAURASHTRA KUTCH & DIU,2001,0.00,0.00,0.00,1.00,15.40,167.80,189.40,125.00,18.70,15.10,0.00,0.00,532.40,0.00,16.40,500.90,15.10
23,KOKAN & GOA,2001,6.50,0.00,0.00,1.20,41.70,562.90,850.10,616.80,203.90,88.30,2.40,0.00,2373.80,6.50,42.90,2233.70,90.70
24,MADHYA MAHARASHTRA,2001,7.60,0.00,1.80,11.30,4.70,164.10,198.50,173.60,158.60,131.50,14.80,0.10,866.60,7.60,17.80,694.80,146.40
25,MARATWADA ,2001,6.40,0.00,2.70,15.90,2.30,175.80,65.30,292.80,92.30,191.50,4.10,0.00,849.10,6.40,20.90,626.20,195.60
26,VIDARBHA,2001,16.10,0.00,25.30,32.70,12.10,325.10,180.10,335.20,49.00,127.20,4.70,0.00,1107.50,16.10,70.10,889.40,131.90
27,CHATTISGARH,2001,4.70,1.40,39.80,30.00,38.50,392.80,473.20,339.30,85.30,62.80,8.40,0.00,1476.20,6.10,108.30,1290.60,71.20
28,COSTAL ANDHRA PRADESH,2001,3.00,0.00,13.60,63.50,45.40,113.50,118.00,159.80,173.50,239.40,105.50,16.30,1051.50,3.00,122.50,564.80,361.20
29,TELENGANA,2001,5.20,0.00,17.50,32.50,7.40,183.80,122.30,240.60,144.00,139.80,2.90,0.00,896.00,5.20,57.40,690.70,142.70
30,RAYALSEEMA,2001,3.00,0.00,2.20,68.40,21.80,26.10,57.20,88.60,241.10,298.80,28.40,24.80,860.40,3.00,92.40,413.00,352.00
31,TAMIL NADU & PONDICHERRY,2001,13.10,7.00,3.50,83.60,36.50,30.10,81.50,48.80,111.00,166.00,131.90,72.40,785.40,20.10,123.60,271.40,370.30
32,COASTAL KARNATAKA,2001,1.20,0.30,0.10,34.00,209.20,1116.10,988.30,687.10,196.20,226.90,69.00,0.90,3529.30,1.50,243.30,2987.70,296.80
33,NORTH INTERIOR KARNATAKA,2001,1.90,0.00,0.10,12.60,21.20,57.20,54.80,105.40,183.40,146.80,1.50,1.60,586.50,1.90,33.90,400.80,149.90
34,SOUTH INTERIOR KARNATAKA,2001,0.90,2.80,2.40,55.10,63.80,130.20,170.60,147.90,194.70,128.40,47.90,3.40,948.10,3.70,121.30,643.40,179.70
35,KERALA,2001,20.00,29.20,6.90,229.80,246.70,709.20,587.40,347.90,224.80,319.90,178.00,10.80,2910.60,49.20,483.40,1869.30,508.70
36,LAKSHADWEEP ,2001,4.70,20.40,0.00,104.80,187.60,284.50,199.60,144.30,213.40,105.80,101.80,16.80,1383.70,25.10,292.40,841.80,224.40
1,ANDAMAN & NICOBAR ISLANDS,2002,21.10,1.00,43.20,70.10,346.50,293.20,225.90,340.10,335.00,166.10,320.30,148.20,2310.70,22.10,459.80,1194.20,634.60
2,ARUNACHAL PRADESH,2002,74.00,12.40,123.10,266.40,229.20,423.20,654.90,379.00,268.20,65.90,43.50,19.80,2559.60,86.40,618.70,1725.30,129.20
3,ASSAM & MEGHALAYA,2002,18.80,4.60,89.00,285.80,292.40,540.90,604.60,342.70,235.40,50.10,59.00,7.10,2530.40,23.40,667.20,1723.60,116.20
4,"NAGALAND, MANIPUR, MIZORAM,TRIPURA",2002,14.00,2.10,58.00,148.10,341.00,282.40,443.10,331.50,266.10,20.20,48.10,6.20,1960.80,16.10,547.10,1323.10,74.50
5,SUB-HIMALAYAN W BENGAL & SIKKIM,2002,24.50,1.20,92.70,216.50,235.10,441.50,970.10,411.40,336.30,78.40,4.60,7.80,2820.10,25.70,544.30,2159.30,90.80
6,GANGETIC WEST BENGAL,2002,26.70,1.20,26.70,79.20,120.10,328.50,271.50,302.20,311.40,80.90,49.00,0.10,1597.50,27.90,226.00,1213.60,130.00
7,ORISSA,2002,23.50,0.10,19.90,37.70,80.90,193.90,143.30,346.10,236.50,60.40,24.30,0.00,1166.60,23.60,138.50,919.80,84.70
8,JHARKHAND,2002,9.50,6.20,11.40,21.60,45.70,229.80,243.40,343.90,325.20,76.40,1.50,0.90,1315.50,15.70,78.70,1142.30,78.80
9,BIHAR ,2002,13.70,10.70,2.80,28.70,93.20,149.20,405.60,256.40,192.80,37.40,1.30,1.50,1193.30,24.40,124.70,1004.00,40.20
10,EAST UTTAR PRADESH,2002,21.40,34.30,0.00,1.60,38.60,58.00,121.00,229.50,264.90,22.50,0.70,3.50,796.00,55.70,40.20,673.40,26.70
11,WEST UTTAR PRADESH,2002,23.80,42.80,2.20,1.60,31.60,48.10,36.20,266.80,257.70,7.80,0.20,10.30,729.10,66.60,35.40,608.80,18.30
12,UTTARANCHAL,2002,55.70,107.00,70.40,65.10,60.90,176.30,262.80,473.60,292.00,21.50,0.00,3.20,1588.50,162.70,196.40,1204.70,24.70
13,"HARYANA, DELHI & CHANDIGARH",2002,15.70,39.00,13.20,3.20,66.70,32.90,28.00,119.40,140.20,2.90,0.10,10.50,471.80,54.70,83.10,320.50,13.50
14,PUNJAB ,2002,7.50,14.90,11.90,8.50,29.80,38.80,71.90,119.70,133.40,5.50,0.00,4.20,446.10,22.40,50.20,363.80,9.70
15,HIMACHAL PRADESH,2002,60.30,92.50,78.10,65.10,26.60,81.40,143.30,335.00,176.80,13.90,1.40,1.10,1075.50,152.80,169.80,736.50,16.40
16,JAMMU & KASHMIR,2002,45.20,68.60,98.30,68.80,32.20,78.00,70.20,172.60,89.20,14.10,0.50,12.80,750.50,113.80,199.30,410.00,27.40
17,WEST RAJASTHAN ,2002,0.50,5.90,0.70,2.60,14.00,34.00,5.60,26.70,20.20,0.30,2.50,5.90,118.90,6.40,17.30,86.50,8.70
18,EAST  RAJASTHAN ,2002,2.30,20.00,0.30,2.60,14.60,69.60,15.00,130.00,45.10,0.90,0.60,2.30,303.30,22.30,17.50,259.70,3.80
19,WEST MADHYA PRADESH,2002,0.50,21.30,2.40,4.20,4.20,159.10,53.20,322.30,169.40,8.40,7.90,1.00,753.90,21.80,10.80,704.00,17.30
20,EAST MADHYA PRADESH,2002,4.20,46.70,4.10,0.60,16.10,130.80,81.00,554.10,184.40,66.50,5.60,3.20,1097.30,50.90,20.80,950.30,75.30
21,"GUJARAT REGION, DADRA & NAGAR HAVELI",2002,0.00,0.00,0.10,0.00,0.10,268.40,51.50,266.60,118.20,0.10,0.30,0.10,705.40,0.00,0.20,704.70,0.50
22,SAURASHTRA KUTCH & DIU,2002,0.00,0.00,0.60,0.00,0.00,219.50,12.90,149.40,18.70,0.50,0.70,0.40,402.70,0.00,0.60,400.50,1.60
23,KOKAN & GOA,2002,0.00,0.00,0.40,0.10,4.40,826.90,402.40,836.80,223.00,29.30,0.80,0.10,2324.20,0.00,4.90,2289.10,30.20
24,MADHYA MAHARASHTRA,2002,0.50,1.50,0.30,6.60,2.80,244.70,89.10,230.50,106.00,24.60,5.10,0.00,711.70,2.00,9.70,670.30,29.70
25,MARATWADA ,2002,6.90,3.40,0.40,4.60,7.10,232.50,53.40,231.90,134.00,27.90,2.70,0.00,704.80,10.30,12.10,651.80,30.60
26,VIDARBHA,2002,3.40,12.20,8.50,11.20,14.30,332.00,75.00,415.60,132.20,36.40,4.60,0.00,1045.40,15.60,34.00,954.80,41.00
27,CHATTISGARH,2002,22.00,6.30,13.20,9.30,21.90,195.30,134.60,386.80,229.40,29.30,0.20,0.70,1049.00,28.30,44.40,946.10,30.20
28,COSTAL ANDHRA PRADESH,2002,42.00,0.30,1.30,20.40,34.40,108.80,78.50,172.70,76.20,177.10,45.00,0.60,757.30,42.30,56.10,436.20,222.70
29,TELENGANA,2002,13.30,1.80,1.30,6.30,33.30,136.90,88.90,289.60,86.50,108.70,1.10,0.00,767.70,15.10,40.90,601.90,109.80
30,RAYALSEEMA,2002,8.90,1.20,1.10,5.50,44.60,79.90,38.10,68.70,72.00,149.60,29.30,5.50,504.40,10.10,51.20,258.70,184.40
31,TAMIL NADU & PONDICHERRY,2002,11.20,58.30,8.50,17.30,60.20,47.00,22.00,47.40,55.20,217.10,137.60,41.60,723.40,69.50,86.00,171.60,396.30
32,COASTAL KARNATAKA,2002,0.30,13.70,0.00,28.60,232.60,811.90,526.00,676.40,173.80,426.10,29.90,1.10,2920.40,14.00,261.20,2188.10,457.10
33,NORTH INTERIOR KARNATAKA,2002,5.10,10.30,0.90,20.40,49.50,114.90,50.50,113.20,50.90,136.20,4.40,0.00,556.30,15.40,70.80,329.50,140.60
34,SOUTH INTERIOR KARNATAKA,2002,3.00,12.40,2.90,32.00,93.60,156.80,115.50,174.30,75.40,181.60,20.50,1.10,869.10,15.40,128.50,522.00,203.20
35,KERALA,2002,6.60,9.80,34.50,116.90,340.70,491.00,318.90,422.20,89.80,486.70,137.90,2.30,2457.30,16.40,492.10,1321.90,626.90
36,LAKSHADWEEP ,2002,10.80,16.90,7.20,23.60,190.40,261.80,81.50,143.70,49.90,178.10,53.10,17.40,1034.40,27.70,221.20,536.90,248.60
1,ANDAMAN & NICOBAR ISLANDS,2003,40.50,24.90,112.60,11.90,287.40,120.90,443.10,329.60,331.70,344.60,185.20,214.50,2446.90,65.40,411.90,1225.30,744.30
2,ARUNACHAL PRADESH,2003,15.20,66.30,94.50,195.90,193.40,506.00,705.60,406.50,339.40,202.10,22.60,13.70,2761.20,81.50,483.80,1957.50,238.40
3,ASSAM & MEGHALAYA,2003,5.60,33.70,85.50,237.50,279.00,731.00,613.30,327.80,264.00,222.80,13.90,21.00,2835.10,39.30,602.00,1936.10,257.70
4,"NAGALAND, MANIPUR, MIZORAM,TRIPURA",2003,5.40,17.00,72.00,161.00,243.50,541.00,283.50,211.00,289.70,144.90,9.80,50.20,2029.00,22.40,476.50,1325.20,204.90
5,SUB-HIMALAYAN W BENGAL & SIKKIM,2003,15.90,82.90,79.90,188.20,263.20,588.30,932.40,395.80,420.90,277.90,16.80,26.30,3288.50,98.80,531.30,2337.40,321.00
6,GANGETIC WEST BENGAL,2003,0.50,18.90,72.20,37.90,85.90,268.00,240.80,220.80,140.30,344.40,9.10,19.00,1457.80,19.40,196.00,869.90,372.50
7,ORISSA,2003,0.00,22.30,27.70,26.80,36.90,206.50,355.20,419.30,274.50,338.60,12.40,30.40,1750.60,22.30,91.40,1255.50,381.40
8,JHARKHAND,2003,2.60,28.70,17.10,9.90,26.60,185.30,280.40,256.40,215.10,256.10,12.60,8.20,1299.00,31.30,53.60,937.20,276.90
9,BIHAR ,2003,11.60,56.80,14.50,18.00,44.50,303.90,349.00,293.70,193.50,162.30,0.00,7.00,1454.80,68.40,77.00,1140.10,169.30
10,EAST UTTAR PRADESH,2003,19.60,39.70,3.10,13.20,3.70,137.20,271.70,309.20,356.60,8.00,0.00,15.10,1177.10,59.30,20.00,1074.70,23.10
11,WEST UTTAR PRADESH,2003,24.30,54.10,3.70,8.40,11.80,71.90,350.30,203.90,379.20,0.00,0.60,21.30,1129.50,78.40,23.90,1005.30,21.90
12,UTTARANCHAL,2003,66.30,185.00,67.40,42.40,79.00,177.10,464.10,448.90,338.60,0.00,3.30,31.60,1903.70,251.30,188.80,1428.70,34.90
13,"HARYANA, DELHI & CHANDIGARH",2003,22.10,35.30,6.50,3.40,10.30,57.10,306.40,190.30,73.70,0.00,0.50,15.10,720.70,57.40,20.20,627.50,15.60
14,PUNJAB ,2003,15.90,80.40,33.30,7.80,3.40,54.60,201.10,139.20,95.70,0.00,4.60,9.10,645.10,96.30,44.50,490.60,13.70
15,HIMACHAL PRADESH,2003,34.60,104.30,80.10,35.90,15.90,91.40,350.80,350.90,170.60,0.10,11.80,22.50,1268.90,138.90,131.90,963.70,34.40
16,JAMMU & KASHMIR,2003,25.00,221.10,155.20,82.50,82.60,37.40,130.30,151.20,105.40,8.70,30.90,75.80,1106.10,246.10,320.30,424.30,115.40
17,WEST RAJASTHAN ,2003,3.10,29.50,0.30,0.10,1.50,48.40,192.10,93.90,17.30,0.20,0.10,0.20,386.70,32.60,1.90,351.70,0.50
18,EAST  RAJASTHAN ,2003,6.00,29.10,0.90,0.40,3.90,68.40,239.50,182.90,97.30,0.30,0.00,1.00,629.70,35.10,5.20,588.10,1.30
19,WEST MADHYA PRADESH,2003,2.30,33.40,0.20,5.70,1.70,140.30,302.00,224.70,294.70,2.20,2.20,1.60,1011.00,35.70,7.60,961.70,6.00
20,EAST MADHYA PRADESH,2003,1.90,82.00,5.50,0.90,1.50,150.20,404.20,376.00,482.20,20.00,3.10,5.00,1532.50,83.90,7.90,1412.60,28.10
21,"GUJARAT REGION, DADRA & NAGAR HAVELI",2003,0.00,9.20,0.00,0.10,0.00,237.70,531.90,344.60,132.60,3.30,0.00,0.00,1259.40,9.20,0.10,1246.80,3.30
22,SAURASHTRA KUTCH & DIU,2003,0.00,1.60,0.00,2.20,0.00,92.80,358.00,236.30,37.50,4.70,0.00,0.00,733.10,1.60,2.20,724.60,4.70
23,KOKAN & GOA,2003,0.00,0.30,0.00,0.10,0.10,845.20,1018.90,611.10,314.40,38.00,0.40,0.00,2828.50,0.30,0.20,2789.60,38.40
24,MADHYA MAHARASHTRA,2003,0.30,0.80,0.90,1.90,0.40,213.60,212.50,165.10,113.60,30.10,1.10,0.00,740.30,1.10,3.20,704.80,31.20
25,MARATWADA ,2003,0.00,1.60,0.10,2.80,0.10,112.30,243.60,168.20,103.40,11.00,1.50,0.60,645.20,1.60,3.00,627.50,13.10
26,VIDARBHA,2003,0.00,25.10,20.90,9.20,0.20,142.70,398.80,257.20,145.50,29.60,1.50,2.20,1032.90,25.10,30.30,944.20,33.30
27,CHATTISGARH,2003,0.80,55.80,36.30,10.60,3.90,187.40,393.40,497.30,363.70,124.00,3.60,25.90,1702.70,56.60,50.80,1441.80,153.50
28,COSTAL ANDHRA PRADESH,2003,2.60,11.20,44.30,8.70,10.40,100.70,240.20,156.30,147.90,296.70,9.50,90.10,1118.60,13.80,63.40,645.10,396.30
29,TELENGANA,2003,0.00,2.70,19.80,11.40,0.60,119.60,317.70,297.20,111.20,108.80,0.40,17.30,1006.70,2.70,31.80,845.70,126.50
30,RAYALSEEMA,2003,0.00,0.40,22.60,8.10,1.60,61.50,146.50,113.60,108.10,182.70,5.00,3.90,654.00,0.40,32.30,429.70,191.60
31,TAMIL NADU & PONDICHERRY,2003,1.00,11.70,41.90,40.10,45.80,49.20,81.80,149.20,69.80,212.00,196.40,26.10,925.00,12.70,127.80,350.00,434.50
32,COASTAL KARNATAKA,2003,0.20,1.30,6.80,38.20,10.60,1013.60,950.00,627.70,236.00,187.10,15.00,0.00,3086.50,1.50,55.60,2827.30,202.10
33,NORTH INTERIOR KARNATAKA,2003,0.10,1.20,14.00,29.90,3.00,62.40,92.50,100.80,61.60,104.20,2.70,1.20,473.60,1.30,46.90,317.30,108.10
34,SOUTH INTERIOR KARNATAKA,2003,0.70,4.60,22.70,42.20,7.70,136.70,178.00,160.70,49.30,204.20,11.00,0.10,817.90,5.30,72.60,524.70,215.30
35,KERALA,2003,1.20,52.90,66.20,128.10,89.00,534.60,501.60,327.10,92.60,388.70,85.90,7.90,2275.80,54.10,283.30,1455.90,482.50
36,LAKSHADWEEP ,2003,11.90,18.20,28.50,18.20,109.40,364.50,400.50,92.30,84.40,191.60,206.20,7.50,1533.20,30.10,156.10,941.70,405.30
1,ANDAMAN & NICOBAR ISLANDS,2004,42.30,111.20,59.70,56.60,480.90,427.20,309.40,307.10,282.60,232.00,174.50,24.60,2508.10,153.50,597.20,1326.30,431.10
2,ARUNACHAL PRADESH,2004,37.40,24.50,153.80,271.10,374.30,387.60,763.80,283.30,325.50,242.50,5.90,22.00,2891.70,61.90,799.20,1760.20,270.40
3,ASSAM & MEGHALAYA,2004,17.70,21.70,111.00,441.80,462.30,351.30,622.60,279.90,289.10,283.80,3.80,5.90,2890.90,39.40,1015.10,1542.90,293.50
4,"NAGALAND, MANIPUR, MIZORAM,TRIPURA",2004,2.70,3.20,9.10,383.40,205.70,253.70,494.00,209.20,288.30,143.20,6.30,0.50,1999.30,5.90,598.20,1245.20,150.00
5,SUB-HIMALAYAN W BENGAL & SIKKIM,2004,18.70,18.60,47.90,189.50,379.10,436.00,750.80,330.60,378.90,204.90,9.10,4.20,2768.30,37.30,616.50,1896.30,218.20
6,GANGETIC WEST BENGAL,2004,2.70,1.30,19.50,60.00,79.00,247.50,247.60,375.90,254.10,199.10,0.30,1.10,1488.10,4.00,158.50,1125.10,200.50
7,ORISSA,2004,5.30,15.00,11.30,71.70,35.50,214.70,331.30,352.40,150.00,149.40,1.00,0.00,1337.60,20.30,118.50,1048.40,150.40
8,JHARKHAND,2004,5.80,4.90,3.60,74.00,62.60,191.70,223.50,285.60,179.20,121.30,0.00,1.30,1153.50,10.70,140.20,880.00,122.60
9,BIHAR ,2004,25.40,0.30,1.90,47.90,58.80,236.60,422.70,154.50,92.50,35.00,0.90,0.50,1077.00,25.70,108.60,906.30,36.40
10,EAST UTTAR PRADESH,2004,30.90,0.40,0.00,10.40,33.10,180.90,310.50,169.10,130.80,36.30,0.00,0.00,902.40,31.30,43.50,791.30,36.30
11,WEST UTTAR PRADESH,2004,23.60,0.90,0.00,24.80,37.00,62.60,107.00,233.20,94.10,61.50,2.40,0.10,647.20,24.50,61.80,496.90,64.00
12,UTTARANCHAL,2004,43.20,7.80,0.00,39.60,74.40,129.80,525.70,526.70,156.90,79.60,0.10,0.60,1584.40,51.00,114.00,1339.10,80.30
13,"HARYANA, DELHI & CHANDIGARH",2004,34.30,0.90,0.00,25.00,46.40,64.90,21.00,250.00,21.60,58.40,0.10,1.40,524.00,35.20,71.40,357.50,59.90
14,PUNJAB ,2004,56.20,8.70,0.00,8.90,36.10,51.50,71.00,145.20,12.70,47.70,1.10,6.00,445.10,64.90,45.00,280.40,54.80
15,HIMACHAL PRADESH,2004,116.50,19.00,0.20,38.40,50.50,62.90,125.60,197.40,39.00,92.80,3.20,20.90,766.40,135.50,89.10,424.90,116.90
16,JAMMU & KASHMIR,2004,138.70,58.20,6.80,107.30,65.40,92.80,144.30,109.60,37.10,89.80,30.10,36.00,916.10,196.90,179.50,383.80,155.90
17,WEST RAJASTHAN ,2004,2.80,0.00,0.00,0.90,7.50,26.30,27.50,94.50,8.60,19.30,0.00,2.90,190.30,2.80,8.40,156.90,22.20
18,EAST  RAJASTHAN ,2004,2.40,0.00,0.00,1.70,14.30,44.40,102.80,396.70,27.00,37.80,0.40,0.00,627.50,2.40,16.00,570.90,38.20
19,WEST MADHYA PRADESH,2004,20.30,0.00,0.00,0.90,11.80,80.60,214.70,422.80,46.90,39.70,2.00,0.00,839.70,20.30,12.70,765.00,41.70
20,EAST MADHYA PRADESH,2004,28.00,0.10,0.00,3.30,6.30,222.00,200.40,352.60,103.70,24.90,5.50,0.00,946.80,28.10,9.60,878.70,30.40
21,"GUJARAT REGION, DADRA & NAGAR HAVELI",2004,0.00,0.00,0.00,0.00,3.10,131.00,247.50,549.20,51.10,22.30,0.00,0.00,1004.20,0.00,3.10,978.80,22.30
22,SAURASHTRA KUTCH & DIU,2004,0.00,0.00,0.00,0.00,18.70,97.90,88.10,238.10,34.70,20.80,0.00,0.00,498.30,0.00,18.70,458.80,20.80
23,KOKAN & GOA,2004,0.00,0.00,0.00,0.00,20.10,641.50,894.30,1069.90,241.80,42.50,1.60,0.00,2911.70,0.00,20.10,2847.50,44.10
24,MADHYA MAHARASHTRA,2004,0.00,0.10,0.00,0.90,19.30,189.40,151.00,285.50,189.60,44.60,3.00,0.00,883.40,0.10,20.20,815.50,47.60
25,MARATWADA ,2004,2.20,0.10,0.10,2.00,13.70,113.20,217.70,78.60,185.60,55.00,8.30,0.00,676.50,2.30,15.80,595.10,63.30
26,VIDARBHA,2004,44.30,3.90,0.40,7.70,22.00,133.40,225.50,230.30,88.80,22.80,17.20,0.00,796.30,48.20,30.10,678.00,40.00
27,CHATTISGARH,2004,35.50,15.50,7.30,23.70,17.30,238.40,339.50,305.70,136.50,53.70,0.80,0.40,1174.30,51.00,48.30,1020.10,54.90
28,COSTAL ANDHRA PRADESH,2004,16.60,5.50,4.60,42.50,99.20,108.50,167.30,94.10,159.50,187.70,48.20,0.00,933.70,22.10,146.30,529.40,235.90
29,TELENGANA,2004,24.10,8.80,6.50,27.40,35.10,61.00,234.70,149.50,118.40,89.70,6.50,0.00,761.70,32.90,69.00,563.60,96.20
30,RAYALSEEMA,2004,4.30,0.80,6.10,37.80,134.00,28.40,115.90,24.50,177.00,98.80,28.30,0.00,655.90,5.10,177.90,345.80,127.10
31,TAMIL NADU & PONDICHERRY,2004,10.30,4.50,5.10,42.70,259.00,38.60,67.60,28.80,213.30,252.50,168.90,13.30,1104.60,14.80,306.80,348.30,434.70
32,COASTAL KARNATAKA,2004,0.40,0.20,4.30,24.30,400.40,803.60,686.50,798.20,160.70,117.50,65.50,0.00,3061.60,0.60,429.00,2449.00,183.00
33,NORTH INTERIOR KARNATAKA,2004,3.00,1.00,1.40,35.40,101.60,97.20,112.50,77.20,144.40,67.50,3.30,0.00,644.50,4.00,138.40,431.30,70.80
34,SOUTH INTERIOR KARNATAKA,2004,0.70,0.80,9.10,70.40,190.10,164.20,164.90,159.80,130.00,112.20,25.70,0.40,1028.30,1.50,269.60,618.90,138.30
35,KERALA,2004,2.70,6.20,34.60,109.30,597.90,693.40,398.20,439.30,192.00,317.80,118.50,1.40,2911.30,8.90,741.80,1722.90,437.70
36,LAKSHADWEEP ,2004,7.20,1.50,1.90,7.60,874.00,251.30,280.90,169.40,200.00,193.30,107.50,2.20,2096.80,8.70,883.50,901.60,303.00
1,ANDAMAN & NICOBAR ISLANDS,2005,18.90,0.00,21.50,43.40,229.60,471.00,348.40,301.10,434.40,306.20,302.60,285.50,2762.60,18.90,294.50,1554.90,894.30
2,ARUNACHAL PRADESH,2005,52.60,133.50,248.00,204.60,181.80,282.90,594.60,362.70,300.50,152.40,25.10,3.70,2542.40,186.10,634.40,1540.70,181.20
3,ASSAM & MEGHALAYA,2005,24.90,34.30,195.30,200.80,251.80,350.20,439.90,445.40,143.70,219.20,8.40,0.90,2314.80,59.20,647.90,1379.20,228.50
4,"NAGALAND, MANIPUR, MIZORAM,TRIPURA",2005,4.20,23.70,162.90,82.80,218.60,167.10,256.40,266.70,240.30,170.10,9.30,10.30,1612.40,27.90,464.30,930.50,189.70
